carId;refuelDate;refuelLitres;refuelMilleage;refuelPricePerLitre;refuelType;tripHours;tripMinutes
1;2023-12-07;55.78;167849;1.757;0;0;0
1;2023-12-09;57.82;168558;1.769;0;0;0
1;2023-12-09;32.12;168829;1.879;0;0;0
1;2023-12-10;66.15;169649;1.539;0;0;0
1;2023-12-28;60.83;170385;1.589;0;0;0
1;2024-02-08;65.54;171104;1.615;0;0;0
1;2024-03-08;65.54;171823;1.615;0;0;0
1;2024-04-01;64.33;172625;1.679;0;0;0
1;2024-05-01;54.71;173221;1.609;0;0;0
1;2024-05-04;55.84;173943;1.619;0;0;0
1;2024-05-30;64.82;174825;1.619;0;0;0
2;2010-08-24;0.0;15;1.07;0;0;0
2;2010-08-30;24.87;380;1.07;0;0;0
2;2010-09-01;36.8;967;1.11;0;0;0
2;2010-10-04;40.3;1610;1.11;0;0;0
2;2010-10-09;34.96;2206;1.09;0;0;0
2;2010-10-31;39.41;2867;1.124;0;0;0
2;2010-11-24;37.96;3470;1.124;0;0;0
2;2010-12-29;44.24;4111;1.203;0;0;0
2;2011-01-28;43.65;4797;1.222;0;0;0
2;2011-02-13;39.5;5424;1.252;0;0;0
2;2011-02-26;39.65;6051;1.252;0;0;0
2;2011-03-14;37.64;6658;1.307;0;0;0
2;2011-04-15;31.1;7169;1.33;0;0;0
2;2011-06-13;37.29;7807;1.281;0;0;0
2;2011-07-19;30.55;8256;1.316;0;0;0
2;2011-07-23;34.33;8794;1.301;0;0;0
2;2011-07-28;27.21;9248;1.307;0;0;0
2;2011-08-05;48.38;10070;1.309;0;0;0
2;2011-09-06;36.66;10620;1.329;0;0;0
2;2011-09-15;29.63;11124;1.309;0;0;0
2;2011-10-28;38.58;11715;1.323;0;0;0
2;2011-12-07;37.47;12257;1.315;0;0;0
2;2011-12-26;32.78;12807;1.31;0;0;0
2;2012-01-02;39.17;13471;1.302;0;0;0
2;2012-02-03;46.91;14266;1.348;0;0;0
2;2012-02-19;39.92;14917;1.329;0;0;0
2;2012-03-03;43.35;15665;1.382;0;0;0
2;2012-03-10;26.41;16149;1.45;0;0;0
2;2012-03-27;45.07;16922;1.409;0;0;0
2;2012-05-24;28.9;17350;1.33;0;0;0
2;2012-06-25;29.28;17773;1.293;0;0;0
2;2012-06-29;46.16;18525;1.379;0;0;0
2;2012-07-20;26.84;18936;1.383;0;0;0
2;2012-08-19;45.51;19677;1.43;0;0;0
2;2012-09-12;36.77;20283;1.423;0;0;0
2;2012-09-28;22.3;20645;1.422;0;0;0
2;2012-10-11;45.49;21366;1.426;0;0;0
2;2012-11-05;47.16;22090;1.379;0;0;0
2;2012-11-11;48.81;22973;1.348;0;0;0
2;2012-11-29;43.72;23702;1.383;0;0;0
2;2012-12-02;47.03;24472;1.412;0;0;0
2;2012-12-19;44.86;25203;1.359;0;0;0
2;2013-01-06;43.8;25933;1.37;0;0;0
2;2013-02-03;41.59;26573;1.385;0;0;0
2;2013-03-01;43.3;27217;1.466;0;0;0
2;2013-04-05;47.03;27953;1.389;0;0;0
2;2013-04-25;46.06;28681;1.37;0;0;0
2;2013-05-28;46.64;29416;1.339;0;0;0
2;2013-06-27;44.8;30107;1.345;0;0;0
2;2013-07-21;44.5;30840;1.449;0;0;0
2;2013-07-27;44.5;31573;1.459;0;0;0
2;2013-08-02;39.7;32244;1.404;0;0;0
2;2013-08-10;38.35;32935;1.419;0;0;0
2;2013-09-19;46.44;33621;1.409;0;0;0
2;2013-10-13;44.13;34229;1.444;0;0;0
2;2013-10-27;39.97;34828;1.426;0;0;0
2;2013-11-12;44.4;35540;1.355;0;0;0
2;2013-12-13;43.8;36109;1.344;0;0;0
2;2013-12-29;38.08;36685;1.446;0;0;0
2;2014-01-02;47.1;37521;1.468;0;0;0
2;2014-01-12;38.83;38140;1.414;0;0;0
2;2014-02-09;55.27;38820;1.339;0;0;0
2;2014-03-11;45.49;39443;1.319;0;0;0
2;2014-04-04;44.65;40121;1.329;0;0;0
2;2014-05-01;44.68;40814;1.339;0;0;0
2;2014-05-28;46.48;41483;1.319;0;0;0
2;2014-06-15;41.76;42144;1.319;0;0;0
2;2014-07-10;46.37;42903;1.319;0;0;0
2;2014-07-12;46.07;43711;1.297;0;0;0
2;2014-07-18;49.23;44502;1.339;0;0;0
2;2014-07-24;45.08;45267;1.352;0;0;0
2;2014-08-09;45.52;46080;1.364;0;0;0
2;2014-09-01;43.85;46810;1.369;0;0;0
2;2014-09-14;50.31;47671;1.319;0;0;0
2;2014-10-11;48.3;48306;1.279;0;0;0
2;2016-08-11;40.0;51773;1.107;0;0;0
2;2016-08-11;42.87;52520;1.099;0;0;0
2;2016-09-04;45.87;53279;1.039;0;0;0
2;2016-09-27;45.93;54018;1.129;1;0;0
2;2016-09-28;46.22;54825;1.099;1;0;0
2;2016-11-20;45.68;55585;1.029;0;0;0
2;2017-01-25;44.76;56264;1.139;0;0;0
2;2017-02-25;40.58;56859;1.239;1;0;0
2;2017-03-02;42.54;57586;1.159;0;0;0
2;2017-04-26;47.51;58334;1.119;0;0;0
2;2017-06-22;47.11;59043;1.059;0;0;0
2;2017-08-02;37.69;59569;1.099;0;0;0
2;2017-09-25;42.92;60255;1.149;0;0;0
2;2017-11-23;42.73;60915;1.149;0;0;0
2;2017-12-28;42.78;61581;1.155;0;0;0
2;2018-02-24;45.42;62286;1.145;0;0;0
2;2018-02-28;42.48;63025;1.209;0;0;0
2;2018-03-13;39.74;63646;1.179;0;0;0
3;2014-10-30;0.0;30;1.249;0;0;0
3;2014-11-25;57.39;840;1.249;0;25;7
3;2014-12-06;63.65;1697;1.249;0;16;31
3;2014-12-17;62.65;2555;1.119;0;16;32
3;2015-01-02;64.78;3419;1.119;0;12;9
3;2015-02-08;56.86;4211;1.129;0;17;51
3;2015-03-01;57.78;5015;1.179;0;16;59
3;2015-03-05;63.82;5870;1.209;0;8;10
3;2015-03-19;51.75;6572;1.205;0;16;46
3;2015-03-22;61.94;7392;1.185;0;10;50
3;2015-03-29;64.27;8259;1.274;0;13;25
3;2015-04-03;55.74;8989;1.279;0;13;49
3;2015-04-16;58.77;9828;1.224;0;13;49
3;2015-05-18;57.56;10632;1.244;0;25;3
3;2015-06-23;61.64;11482;1.209;0;26;33
3;2015-07-02;54.96;12221;1.219;0;13;31
3;2015-07-04;55.86;12975;1.229;0;7;21
3;2015-07-30;64.99;13866;1.169;0;21;19
3;2015-08-19;64.95;14760;1.174;1;17;51
3;2015-08-26;67.99;15779;1.134;1;11;3
3;2015-09-28;60.79;16666;1.189;1;11;3
3;2015-10-12;63.52;17601;1.144;1;11;3
3;2015-10-31;62.99;18512;1.108;1;17;28
3;2015-11-22;62.51;19448;1.088;1;26;0
3;2015-12-25;60.38;20353;0.998;1;26;0
3;2015-12-31;42.2;21006;1.019;1;9;15
3;2016-01-07;64.62;21827;0.988;1;12;40
3;2016-02-02;54.1;22642;1.024;1;12;40
3;2016-02-08;62.32;23512;1.027;1;9;2
3;2016-02-21;67.89;24415;1.039;1;16;36
3;2016-02-25;58.69;25160;0.984;1;7;0
3;2016-03-13;35.5;25694;1.028;1;12;30
3;2016-03-26;49.01;26364;1.109;1;9;39
3;2016-04-10;60.56;27231;0.978;1;16;29
3;2016-04-28;60.61;28135;1.048;1;23;14
3;2016-05-15;54.43;28882;1.068;1;19;44
3;2016-05-17;61.26;29707;1.119;1;27;44
3;2016-06-25;66.44;30599;1.159;0;10;33
3;2016-07-10;65.82;31496;1.091;1;21;36
3;2016-07-16;61.8;32441;1.079;1;12;25
3;2016-07-25;63.44;33299;1.079;1;20;43
3;2016-08-16;54.2;33966;1.156;1;13;47
3;2016-09-02;60.38;34747;1.039;1;12;5
3;2016-10-15;56.14;35524;1.079;0;18;24
3;2016-12-08;65.96;36421;1.139;0;21;18
3;2016-12-30;44.85;37060;1.189;0;10;58
3;2017-02-10;60.22;37849;1.139;1;18;0
3;2017-03-14;60.31;38669;1.129;0;20;56
3;2017-03-20;64.44;39545;1.129;0;9;54
3;2017-04-01;62.34;40472;1.069;0;14;16
3;2017-05-10;60.49;41332;1.145;0;13;53
3;2017-05-11;68.73;42231;1.209;1;8;5
3;2017-06-18;60.73;43023;1.059;1;18;9
3;2017-06-25;57.85;43783;1.089;0;7;59
3;2017-08-13;46.42;44415;1.099;0;15;18
3;2017-08-29;51.26;45077;1.095;0;9;24
3;2017-10-03;58.71;45905;1.169;0;17;39
3;2017-10-14;63.85;46774;1.129;0;14;25
3;2017-11-18;53.71;47510;1.165;0;17;43
3;2017-11-26;64.71;48379;1.159;0;10;9
3;2017-12-08;69.36;49247;1.175;0;13;20
3;2018-01-06;63.47;50115;1.149;0;16;6
3;2018-02-18;58.0;50856;1.149;0;21;59
3;2018-03-22;45.26;51421;1.149;0;20;2
3;2018-03-24;33.0;51893;1.169;0;4;14
3;2018-03-28;59.13;52712;1.369;0;14;14
3;2018-03-31;63.0;53529;1.189;0;13;20
3;2018-04-12;61.72;54380;1.199;0;15;0
3;2018-04-23;62.99;55218;1.219;0;15;0
3;2018-04-27;60.38;56109;1.239;0;10;11
3;2018-04-30;63.82;57044;1.564;0;10;30
3;2018-05-01;69.14;57999;1.229;0;8;58
3;2018-05-16;59.4;58850;1.259;0;14;36
3;2018-05-20;66.37;59780;1.229;0;12;32
3;2018-06-24;60.05;60578;1.259;0;26;51
